	Google Play Music	-$9.99		April 2023
May 2023		$1188.59	¥0	
	Patreon	-$14.00		May 2023
	Monthly budget	$200.00		May 2023
	Audible	-$14.95		May 2023
	YouTube Premium	-$9.99		May 2023
	Playstations trade-in at the Retro Fix	$400.00		May 2023
	"ebay: Spelljammer, Eva figures, "	$404.55		May 2023
	Framemeister and XCapture-1	$300.00		May 2023
	Drive Thru RPG: Spelljammer	-$9.99		May 2023
	"Amazon — Nintendo gift card, for EO HD remaster"	-$67.03		May 2023
June 2023		$161.06	¥0	
	Patreon	-$14.00		June 2023
	Monthly budget	$200.00		June 2023
	Audible	-$14.95		June 2023
	YouTube Premium	-$9.99		June 2023
July 2023		$161.06	¥0	
	Monthly budget	$200.00		Jul 23
	Patreon	-$14.00		Jul 23
	Audible	-$14.95		Jul 23
	YouTube Premium	-$9.99		Jul 23
August 2023		$360.27	¥0	
	Monthly budget	$200.00		Aug 23
	Patreon	-$14.00		Aug 23
	Audible	-$14.95		Aug 23
	YouTube Premium	-$9.99		Aug 23
	Kickstarter — Fledge Witch	-$15		Aug 23
	ebay: Ayanami garage kit	$40		Aug 23
	ebay: Ayanami garage kit	$40		Aug 23
	ebay: Mitsumasa garage kit	$38		Aug 23
	ebay: Homestuck poster	$101		Aug 23
	Kindle: 違国日記（11）	-$4.79		Aug 23
September 2023		$161.06	¥0	
	Monthly budget	$200.00		Sep 23
	Patreon	-$14.00		Sep 23
	Audible	-$14.95		Sep 23
	YouTube Premium	-$9.99		Sep 23
October 2023		-$2155.86	¥0	
	Monthly budget	$200.00		Oct 23
	Patreon	-$14.00		Oct 23
	Audible	-$14.95		Oct 23
	YouTube Premium	-$9.99		Oct 23
	Ubgoe — clammbon crowdfunding	-$1822.21		Oct 23
	GPT Plus	-$20		Oct 23
	"Yamaha MT50, Strymon Iridium"	-$467.48		Oct 23
	Sengoku — belts	-$7.23		Oct 23
November 2023		-$1381.08	¥0	
	Monthly budget	$200.00		Nov 23
	Patreon	-$14.00		Nov 23
	Audible	-$14.95		Nov 23
	YouTube Premium	-$9.99		Nov 23
	GPT Plus	-$20		Nov 23
	Kinokuniya — The Lord of the Rings	-$130.84		Nov 23
	Eイヤホン — Sony MDR-7506	-$76.15		Nov 23
